Date,close,signal,position,equity
2024-07-01,215.57000732421875,1,1.0,10000.0
2024-07-02,215.55999755859375,1,1.0,9999.535660561076
2024-07-03,217.99000549316406,1,1.0,10112.26042987073
2024-07-05,220.92999267578125,1,1.0,10248.642444192204
2024-07-08,218.19000244140625,1,1.0,10121.538016800596
2024-07-09,218.55999755859375,1,1.0,10138.70158801257
2024-07-10,219.36000061035156,1,1.0,10175.812643566534
2024-07-11,223.25,-1,0.0,10346.08862187169
2024-07-12,223.11000061035156,-1,0.0,10346.08862187169
2024-07-15,223.8300018310547,-1,0.0,10346.08862187169
2024-07-16,228.2899932861328,-1,0.0,10346.08862187169
2024-07-17,227.22999572753906,-1,0.0,10346.08862187169
2024-07-18,225.77999877929688,-1,0.0,10346.08862187169
2024-07-19,221.72999572753906,-1,0.0,10346.08862187169
2024-07-22,221.8000030517578,-1,0.0,10346.08862187169
2024-07-23,222.5800018310547,-1,0.0,10346.08862187169
2024-07-24,221.8000030517578,-1,0.0,10346.08862187169
2024-07-25,218.3300018310547,-1,0.0,10346.08862187169
2024-07-26,220.6300048828125,-1,0.0,10346.08862187169
2024-07-29,220.32000732421875,-1,0.0,10346.08862187169
2024-07-30,222.52000427246094,-1,0.0,10346.08862187169
2024-07-31,226.5500030517578,-1,0.0,10346.08862187169
2024-08-01,225.77000427246094,-1,0.0,10346.08862187169
2024-08-02,225.33999633789062,-1,0.0,10346.08862187169
2024-08-05,222.47999572753906,-1,0.0,10346.08862187169
2024-08-06,220.6999969482422,-1,0.0,10346.08862187169
2024-08-07,220.5500030517578,-1,0.0,10346.08862187169
2024-08-08,224.00999450683594,-1,0.0,10346.08862187169
2024-08-09,224.55999755859375,-1,0.0,10346.08862187169
2024-08-12,228.41000366210938,1,1.0,10335.742533249819
2024-08-13,228.05999755859375,-1,0.0,10309.56872358727
2024-08-14,226.1999969482422,1,1.0,10299.259154863683
2024-08-15,226.91000366210938,1,1.0,10331.58693225744
2024-08-16,231.99000549316406,1,1.0,10562.887799061544
2024-08-19,231.61000061035156,-1,0.0,10535.022661832767
2024-08-20,232.4600067138672,1,1.0,10524.487639170935
2024-08-21,232.14999389648438,-1,0.0,10499.92750681742
2024-08-22,229.3699951171875,1,1.0,10489.427579310603
2024-08-23,232.02000427246094,-1,0.0,10600.126972023801
2024-08-26,232.75999450683594,-1,0.0,10600.126972023801
2024-08-27,233.38999938964844,-1,0.0,10600.126972023801
2024-08-28,231.75,1,1.0,10589.526845051778
2024-08-29,232.9499969482422,-1,0.0,10633.769680223517
2024-08-30,231.2899932861328,-1,0.0,10633.769680223517
2024-09-03,230.2899932861328,-1,0.0,10633.769680223517
2024-09-04,230.42999267578125,1,1.0,10623.135910543293
